name,desp,example,synx,parameter,output,module
sscanf(),The sscanf() function in C++ is used to read the data from string buffer.,"#include <cstdio>

int main ()
{
    char fname[50], lname[50];
    char buffer[] = ""Dennis Ritchie"";

    sscanf(buffer, ""%s %s"", fname, lname);
    printf(""First name : %s \nLast name : %s\n"", fname, lname);

    return 0;
}","int sscanf( const char* buffer, const char* format, ... );","buffer: Pointer to a null-terminated character string to read the data from.
format: Pointer to a null-terminated character string that specifies how to read the input. It consists of format specifiers starting with %.
		







The format string has the following parts:

Non whitespace characters except % each of which consumes one identical character from the input stream. It can cause the function to fail if the next character on the stream does not compare equal.
Whitespace character: All the consecutive whitespace characters are treated as single whitespace character. Further, '\n', '\t' and ' ' are considered same.
Conversion specification: It follows the following format:
				
Initial % character that specifies the beginning
An optional * called assignment-suppressing character. If this character is present, fscanf() does not assign the result to any receiving argument.
An optional positive integer number that specifies maximum field width. It specifies the maximum number of characters that fscanf() is allowed to consume when doing the conversion specified by the current conversion specification.
An optional length modifier specifying the size of the receiving argument.
A conversion format specifier.
						


Format Specifier
Description





%
Matches the literal %


c
Matches a single character or multiple characters. If width is defined, matches exactly width characters.


s
Matches consecutive non whitespace characters. If width is defined, matches exactly width characters or until first whitespace is found.


[set]
Matches a non empty sequence of character from the given set of characters. If ^ is present at the beginning of set, then all the characters not in set are matched.


d
Matches a decimal integer.


i
Matches an integer.


o
Matches an unsigned octal integer.


X or x
Matches an unsigned hexadecimal integer.


u
Matches an unsigned decimal integer.


A or a, E or e, F or f, G or g
Matches a floating-point number.


n
Returns the number of characters read so far.


p
Matches an implementation defined character sequence defining a pointer.







		So the general format of format specifier is: %[*][width][length]specifier
… : Other additional arguments for receiving data. They occur in a sequence according to the format specifier.","First name : Dennis 
Last name : Ritchie",Cstdio
sprintf(),The sprintf() function in C++ is used to write a formatted string to character string buffer.,"#include <cstdio>
#include <iostream>

using namespace std;

int main()
{
    char buffer[100];
    int retVal;
    char name[] = ""Max"";
    int age = 23;

    retVal = sprintf(buffer, ""Hi, I am %s and I am %d years old"", name, age);
    cout << buffer << endl;
    cout << ""Number of characters written = "" << retVal << endl;

    return 0;
}","int sprintf( char* buffer, const char* format, ... );","buffer: Pointer to the string buffer to write the result.
format: Pointer to a null terminated string that is written to the file stream. It consists of characters along with optional format specifiers starting with %.
		The format specifiers are replaced by the values of respective variables that follows the format string.








The format specifier has the following parts:

A leading % sign
Flags: Optional one or more flags that modifies the conversion behavior.
				
- : Left justify the result within the field. By default it is right justified.
+ : The sign of the result is attached to the beginning of the value, even for positive results.
Space: If there is no sign, a space is attached to the beginning of the result.
# : An alternative form of the conversion is performed.
0 : It is used for integer and floating point number. Leading zeros are used to pad the numbers instead of space.


Width: An optional * or integer value used to specify minimum width field.
Precision : An optional field consisting of a . followed by * or integer or nothing to specify the precision.
Length : An optional length modifier that specifies the size of the argument.
Specifier: A conversion format specifier. The available format specifiers are as follows:
				


Format Specifier
Description




%
Prints %


c
Writes a single character


s
Writes a character string


d or i
Converts a signed integer to decimal representation


o
Converts an unsigned integer to octal representation


X or x
Converts an unsigned integer to hexadecimal representation


u
Converts an unsigned integer to decimal representation


F or f
Converts floating-point number to the decimal representation


E or e
Converts floating-point number to the decimal exponent notation


A or a
Converts floating-point number to the hexadecimal exponent


G or g
Converts floating-point number to either decimal or decimal exponent notation


n
Returns the number of characters written so far by this call to the function. The result is written to the value pointed to by the argument


p
Writes an implementation defined character sequence defining a pointer.



So the general format of format specifier is: %[flags][width][.precision][length]specifier



… : Other additional arguments specifying the data to be printed. They occur in a sequence according to the format specifier.","Hi, I am Max and I am 23 years old
Number of characters written = 34",Cstdio
snprintf(),The snprintf() function in C++ is used to write a formatted string to character string buffer.,"#include <cstdio>
#include <iostream>

using namespace std;

int main()
{
    char buffer[100];
    int retVal, buf_size = 100;
    char name[] = ""Max"";
    int age = 23;

    retVal = snprintf(buffer, buf_size, ""Hi, I am %s and I am %d years old"", name, age);
    if (retVal > 0 && retVal < buf_size)
    {
        cout << buffer << endl;
        cout << ""Number of characters written = "" << retVal << endl;
    }
    else
        cout << ""Error writing to buffer"" << endl;

    return 0;
}","int snprintf( char* buffer, size_t buf_size, const char* format, ... );","buffer: Pointer to the string buffer to write the result.
buf_size: Specify maximum number of characters to be written to buffer which is buf_size-1.
format: Pointer to a null terminated string that is written to the file stream. It consists of characters along with optional format specifiers starting with %.
		The format specifiers are replaced by the values of respective variables that follows the format string.








The format specifier has the following parts:

A leading % sign
Flags: Optional one or more flags that modifies the conversion behavior.
				
- : Left justify the result within the field. By default it is right justified.
+ : The sign of the result is attached to the beginning of the value, even for positive results.
Space: If there is no sign, a space is attached to the beginning of the result.
# : An alternative form of the conversion is performed.
0 : It is used for integer and floating point number. Leading zeros are used to pad the numbers instead of space.


Width: An optional * or integer value used to specify minimum width field.
Precision : An optional field consisting of a . followed by * or integer or nothing to specify the precision.
Length : An optional length modifier that specifies the size of the argument.
Specifier: A conversion format specifier. The available format specifiers are as follows:
				


Format Specifier
Description




%
Prints %


c
Writes a single character


s
Writes a character string


d or i
Converts a signed integer to decimal representation


o
Converts an unsigned integer to octal representation


X or x
Converts an unsigned integer to hexadecimal representation


u
Converts an unsigned integer to decimal representation


F or f
Converts floating-point number to the decimal representation


E or e
Converts floating-point number to the decimal exponent notation


A or a
Converts floating-point number to the hexadecimal exponent


G or g
Converts floating-point number to either decimal or decimal exponent notation


n
Returns the number of characters written so far by this call to the function. The result is written to the value pointed to by the argument


p
Writes an implementation defined character sequence defining a pointer.



So the general format of format specifier is: %[flags][width][.precision][length]specifier



… : Other additional arguments specifying the data to be printed. They occur in a sequence according to the format specifier.","Hi, I am Max and I am 23 years old
Number of characters written = 34",Cstdio
scanf,The scanf() function in C++ is used to read the data from stdin.,"#include <cstdio>

int main ()
{
    FILE *fp;
    char name[50];
    int age;
    
    fp = fopen(""example.txt"",""w"");
    fprintf(fp, ""%s %d"", ""Tim"", 31);
    fclose(fp);

    fp = fopen(""example.txt"",""r"");
    scanf(fp, ""%s %d"", name, &age);
    fclose(fp);

    printf(""Hello %s, You are %d years old\n"", name, age);
    return 0;
}","int scanf( const char* format, ... );","format: Pointer to a null-terminated character string that specifies how to read the input. It consists of format specifiers starting with %.

		







The format string has the following parts:

Non whitespace characters except % each of which consumes one identical character from the input stream. It can cause the function to fail if the next character on the stream does not compare equal.
Whitespace character: All the consecutive whitespace characters are treated as single whitespace character. Further, '\n', '\t' and ' ' are considered same.
Conversion specification: It follows the following format:
				
Initial % character that specifies the beginning
An optional * called assignment-suppressing character. If this character is present, scanf() does not assign the result to any receiving argument.
An optional positive integer number that specifies maximum field width. It specifies the maximum number of characters that scanf() is allowed to consume when doing the conversion specified by the current conversion specification.
An optional length modifier specifying the size of the receiving argument.
A conversion format specifier.
						


Format Specifier
Description





%
Matches the literal %


c
Matches a single character or multiple characters. If width is defined, matches exactly width characters.


s
Matches consecutive non whitespace characters. If width is defined, matches exactly width characters or until first whitespace is found.


[set]
Matches a non empty sequence of character from the given set of characters. If ^ is present at the beginning of set, then all the characters not in set are matched.


d
Matches a decimal integer.


i
Matches an integer.


o
Matches an unsigned octal integer.


X or x
Matches an unsigned hexadecimal integer.


u
Matches an unsigned decimal integer.


A or a, E or e, F or f, G or g
Matches a floating-point number.


n
Returns the number of characters read so far.


p
Matches an implementation defined character sequence defining a pointer.







		So the general format of format specifier is: %[*][width][length]specifier
… : Other additional arguments for receiving data. They occur in a sequence according to the format specifier.","Hello Tim, You are 31 years old",Cstdio
printf(),The printf() function in C++ is used to write a formatted string to stdout.,"#include <cstdio>

int main()
{
    int x = 5;
    char my_name[] = ""Lincoln"";

    printf(""x = %d \n"", x);
    printf(""My name is %s \n"", my_name);
    
    return 0;
}","int printf( const char* format, ... );","format: Pointer to a null terminated string that is written to the file stream. It consists of characters along with optional format specifiers starting with %.

		The format specifiers are replaced by the values of respective variables that follows the format string.
The format specifier has the following parts:

A leading % sign
Flags: Optional one or more flags that modifies the conversion behavior.
				
- : Left justify the result within the field. By default it is right justified.
+ : The sign of the result is attached to the beginning of the value, even for positive results.
Space: If there is no sign, a space is attached to the beginning of the result.
# : An alternative form of the conversion is performed.
0 : It is used for integer and floating point number. Leading zeros are used to pad the numbers instead of space.


Width: An optional * or integer value used to specify minimum width field.
Precision : An optional field consisting of a . followed by * or integer or nothing to specify the precision.
Length : An optional length modifier that specifies the size of the argument.
Specifier: A conversion format specifier. The available format specifiers are as follows:
				


Format Specifier
Description




%
Prints %


c
Writes a single character


s
Writes a character string


d or i
Converts a signed integer to decimal representation


o
Converts an unsigned integer to octal representation


X or x
Converts an unsigned integer to hexadecimal representation


u
Converts an unsigned integer to decimal representation


F or f
Converts floating-point number to the decimal representation


E or e
Converts floating-point number to the decimal exponent notation


A or a
Converts floating-point number to the hexadecimal exponent


G or g
Converts floating-point number to either decimal or decimal exponent notation


n
Returns the number of characters written so far by this call to the function. The result is written to the value pointed to by the argument


p
Writes an implementation defined character sequence defining a pointer.











So the general format of format specifier is: %[flags][width][.precision][length]specifier



… : Other additional arguments specifying the data to be printed. They occur in a sequence according to the format specifier.","x = 5 
My name is Lincoln",Cstdio
fscanf(),The fscanf() function in C++ is used to read the data from file stream.,"#include <cstdio>

int main ()
{
    FILE *fp;
    char name[50];
    int age;
    
    fp = fopen(""example.txt"",""w"");
    fprintf(fp, ""%s %d"", ""Tim"", 31);
    fclose(fp);

    fp = fopen(""example.txt"",""r"");
    fscanf(fp, ""%s %d"", name, &age);
    fclose(fp);

    printf(""Hello %s, You are %d years old\n"", name, age);
    return 0;
}","int fscanf( FILE* stream, const char* format, ... );","stream: An input file stream to read the data from.
format: Pointer to a null-terminated character string that specifies how to read the input. It consists of format specifiers starting with %.
		







The format string has the following parts:

Non whitespace characters except % each of which consumes one identical character from the input stream. It can cause the function to fail if the next character on the stream does not compare equal.
Whitespace character: All the consecutive whitespace characters are treated as single whitespace character. Further, '\n', '\t' and ' ' are considered same.
Conversion specification: It follows the following format:
				
Initial % character that specifies the beginning
An optional * called assignment-suppressing character. If this character is present, fscanf() does not assign the result to any receiving argument.
An optional positive integer number that specifies maximum field width. It specifies the maximum number of characters that fscanf() is allowed to consume when doing the conversion specified by the current conversion specification.
An optional length modifier specifying the size of the receiving argument.
A conversion format specifier.
						


Format Specifier
Description





%
Matches the literal %


c
Matches a single character or multiple characters. If width is defined, matches exactly width characters.


s
Matches consecutive non whitespace characters. If width is defined, matches exactly width characters or until first whitespace is found.


[set]
Matches a non empty sequence of character from the given set of characters. If ^ is present at the beginning of set, then all the characters not in set are matched.


d
Matches a decimal integer.


i
Matches an integer.


o
Matches an unsigned octal integer.


X or x
Matches an unsigned hexadecimal integer.


u
Matches an unsigned decimal integer.


A or a, E or e, F or f, G or g
Matches a floating-point number.


n
Returns the number of characters read so far.


p
Matches an implementation defined character sequence defining a pointer.







		So the general format of format specifier is: %[*][width][length]specifier
… : Other additional arguments for receiving data. They occur in a sequence according to the format specifier.","Hello Tim, You are 31 years old",Cstdio
fprintf(),The fprintf() function in C++ is used to write a formatted string to file stream.,"#include <cstdio>

int main()
{
    FILE *fp;
    fp = fopen(""example.txt"",""w"");
    char lang[5][20] = {""C"",""C++"",""Java"",""Python"",""PHP""};

    fprintf(fp,""Top 5 programming language\n"");
    for (int i=0; i<5; i++)
        fprintf(fp, ""%d. %s\n"", i+1, lang[i]);

    fclose(fp);
    return 0;
}","int fprintf(FILE* stream, const char* format, ...);","stream: Pointer to an output file stream where the contents are written.
format: Pointer to a null terminated string that is written to the file stream. It consists of characters along with optional format specifiers starting with %.
		The format specifiers are replaced by the values of respective variables that follows the format string.
The format specifier has the following parts:

A leading % sign
Flags: Optional one or more flags that modifies the conversion behavior.
				
- : Left justify the result within the field. By default it is right justified.
+ : The sign of the result is attached to the beginning of the value, even for positive results.
Space: If there is no sign, a space is attached to the beginning of the result.
# : An alternative form of the conversion is performed.
0 : It is used for integer and floating point number. Leading zeros are used to pad the numbers instead of space.


Width: An optional * or integer value used to specify minimum width field.
Precision : An optional field consisting of a . followed by * or integer or nothing to specify the precision.
Length : An optional length modifier that specifies the size of the argument.
Specifier: A conversion format specifier. The available format specifiers are as follows:
				


Format Specifier
Description




%
Prints %


c
Writes a single character


s
Writes a character string


d or i
Converts a signed integer to decimal representation


o
Converts an unsigned integer to octal representation


X or x
Converts an unsigned integer to hexadecimal representation


u
Converts an unsigned integer to decimal representation


F or f
Converts floating-point number to the decimal representation


E or e
Converts floating-point number to the decimal exponent notation


A or a
Converts floating-point number to the hexadecimal exponent


G or g
Converts floating-point number to either decimal or decimal exponent notation


n
Returns the number of characters written so far by this call to the function. The result is written to the value pointed to by the argument


p
Writes an implementation defined character sequence defining a pointer.











So the general format of format specifier is: %[flags][width][.precision][length]specifier



… : Other additional arguments specifying the data to be printed. They occur in a sequence according to the format specifier.","Top 5 programming language
1. C
2. C++
3. Java
4. Python
5. PHP",Cstdio
setbuf(),The setbuf() function in C++ sets the internal buffer to be used for I/O operations by a stream.,"#include <iostream>
#include <cstdio>

using namespace std;

int main ()
{
    char str[] = ""Buffered Stream"";
    char buffer[BUFSIZ];
    
    FILE *fp;
    fp=fopen (""test.txt"",""wb"");
    
    setbuf(fp,buffer);
    fwrite(str, sizeof(str), 1, fp);
    
    fflush(fp);
    fclose(fp);

    cout << buffer;
    
    return 0;
}","void setbuf(FILE* stream, char* buffer);","stream: A file stream.
buffer: A pointer to a buffer which may be null or not. If it is null, buffering is turned off, otherwise it should of at least BUFSIZ bytes.",Buffered Stream,Cstdio
fopen(),The fopen() function in C++ opens a specified file in a certain mode.,"#include <cstdio>
#include <cstring>

using namespace std;

int main()
{
	int c;
	FILE *fp;
	fp = fopen(""file.txt"", ""w"");
	char str[20] = ""Hello World!"";
	if (fp)
	{
		for(int i=0; i<strlen(str); i++) 
			putc(str[i],fp);
	}
	fclose(fp);
}","FILE* fopen (const char* filename, const char* mode);","filename: Pointer to the string containing the name of the file to be opened.
mode: Pointer to the string that specifies the mode in which file is opened.",Hello World!,Cstdio
fclose(),The fclose() function in C++ closes the given file stream.,"#include <iostream>
#include <cstdio>

using namespace std;

int main()
{
	FILE *fp;
	fp = fopen(""file.txt"",""w"");
	char str[20] = ""Hello World!"";
	
	if (fp == NULL)
	{
		cout << ""Error opening file"";
		exit(1);
	}
	fprintf(fp,""%s"",str);
	fclose(fp);
	cout << ""File closed successfully"";
	return 0;
}",int fclose(FILE* stream);,stream: The file stream to close.,File closed successfully,Cstdio
tmpnam(),The tmpnam() function in C++ generates a unique filename that can be used to create a temporary file without overwriting any existing one.,"#include <iostream>
#include <cstdio>

using namespace std;

int main ()
{
	char filename1[L_tmpnam],filename2[L_tmpnam];
	
	tmpnam(filename1);
	tmpnam(filename2);
	cout << ""Temporary filenames:"" << endl;
	cout << ""1. "" << filename1 << endl;
	cout << ""2. "" << filename2 << endl;

	/*	when null is passed	*/
	char* filename3 = tmpnam(NULL);
	cout << ""3. "" << filename3; 

  return 0;  
}",char* tmpnam(char* filename);,"filename: Pointer to an character array of L_tmpnam bytes, where the proposed temporary name will be stored. If the parameter is a null pointer, the string will be stored in an internal static array.","Temporary filenames:
1. \s1dg.
2. \s1dg.1
3. \s1dg.2",Cstdio
tmpfile(),The tmpfile() function in C++ creates and opens a temporary file in binary read/write (wb+) mode with a unique auto-generated filename.,"#include <iostream>
#include <cstdio>
#include <cstdlib>

using namespace std;

int main()
{
	FILE *fp;
	fp = tmpfile();
	char writeToFile[50] = ""Creating a temporary file"";
	
	if (fp==NULL)
	{
		perror(""Error creating temporary file"");
		exit(1);
	}
	
	fputs(writeToFile,fp);
	rewind(fp);
	
	char readFromFile[50];
	fgets(readFromFile, sizeof(readFromFile), fp);
	cout << readFromFile;
	fclose(fp);
	
	return 0;
}",FILE* tmpfile();,None,Creating a temporary file,Cstdio
rename(),The rename() function in C++ renames a specified file.,"#include <iostream>
#include <cstdio>

using namespace std;

int main()
{
	char oldname[] = ""file_old.txt"";
	char newname[] = ""file_new.txt"";
	
	/*	Deletes the file if exists */
	if (rename(oldname, newname) != 0)
		perror(""Error renaming file"");
	else
		cout << ""File renamed successfully"";
	
	return 0;
}","int rename( const char *oldname, const char *newname );","oldname: Pointer to the string containing the old name of the file along with the path to rename.
newname: Pointer to the string containing the new name of the file along with the path.",File renamed successfully,Cstdio
remove(),The remove() function in C++ deletes a specified file.,"#include <iostream>
#include <cstdio>

using namespace std;

int main()
{
	char filename[] = ""C:\\Users\\file.txt"";
	
	/*	Deletes the file if exists */
	if (remove(filename) != 0)
		perror(""File deletion failed"");
	else
		cout << ""File deleted successfully"";
	
	return 0;
}",int remove(const char* filename);,filename: Pointer to the string containing the name of the file along with the path to delete.,"If the file is deleted successfully:
File deleted successfully
If the file is not present:
File deletion failed: No such file or directory",Cstdio
wcscoll(),The wcscoll() function in C++ compares two null terminated string. The comparison is based on the current locale defined by the LC_COLLATE category.,"#include <iostream>
#include <clocale>
#include <cwchar>
using namespace std;

void compare(const wchar_t* p1, const wchar_t* p2)
{
	if(wcscoll(p1, p2) < 0)
		wcout << p1 << L"" precedes "" << p2 << '\n';
	else if (std::wcscoll(p1, p2) > 0)
		wcout << p2 << L"" precedes "" << p1 << '\n';
	else
		wcout << p2 << L"" equals "" << p1 << '\n';
}

int main()
{
	wchar_t str1[] = L""årtist"";
	wchar_t str2[] = L""äpple"";
	
	setlocale(LC_ALL, ""en_US.utf8"");
	wcout << L""In the American locale: "";
	compare(str1, str2);

	setlocale(LC_ALL, ""sv_SE.utf8"");
	wcout << L""In the Swedish locale: "";
	compare(str1, str2);
	
	return 0;
}","int wcscoll( const wchar_t* lhs, const wchar_t* rhs );",lhs and rhs: Pointer to the null terminated wide strings to compare.,"In the American locale: äpple precedes årtist
In the Swedish locale: årtist precedes äpple",Cwchar
wcstoull(),The wcstoull() function in C++ interprets the contents of a wide string as an unsigned integral number of the specified base and returns its value as a unsigned long long int.,"#include <cwchar>
#include <clocale>
#include <iostream>
using namespace std;

int main()
{
	setlocale(LC_ALL, ""en_US.UTF-8"");
	
	wchar_t str1[] = L""101aa\u16b6"";
	wchar_t str2[] = L""59"";
	wchar_t *end;
	unsigned long long value;
	int base = 10;
	
	value = wcstoull(str1, &end, base);
	wcout << L""String value = "" << str1 << endl;
	wcout << L""Unsigned Long Long Int value = "" << value << endl;
	wcout << L""End String = "" << end << endl;
	
	value = wcstoull(str2, &end, base);
	wcout << L""String value = "" << str2 << endl;
	wcout << L""Unsigned Long Long Int value = "" << value << endl;
	wcout << L""End String = "" << end << endl;
	
	return 0;
}","unsigned long wcstoull( const wchar_t* str, wchar_t** str_end, int base );","str: A wide string having the representation of an unsigned integral number.
str_end: A pointer to a pointer to a wide character. The value of str_end is set by the function to the next character in str after the last valid character. This parameter can also be a null pointer, in which case it is not used.
base: The base of the integral value. The set of valid values for base is {0, 2, 3, …, 35, 36}.","String value = 101aaᚶ
Unsigned Long Long Int value = 101
End String = aaᚶ
String value = 59
Unsigned Long Long Int value = 59
End String =",Cwchar
wcstoul(),The wcstoul() function in C++ interprets the contents of a wide string as an unsigned integral number of the specified base and returns its value as a unsigned long int.,"#include <cwchar>
#include <clocale>
#include <iostream>
using namespace std;

int main()
{
	setlocale(LC_ALL, ""en_US.UTF-8"");
	
	wchar_t str1[] = L""101aa\u16b6"";
	wchar_t str2[] = L""59"";
	wchar_t *end;
	unsigned long value;
	int base = 10;
	
	value = wcstoul(str1, &end, base);
	wcout << L""String value = "" << str1 << endl;
	wcout << L""Unsigned Long Int value = "" << value << endl;
	wcout << L""End String = "" << end << endl;
	
	value = wcstoul(str2, &end, base);
	wcout << L""String value = "" << str2 << endl;
	wcout << L""Unsigned Long Int value = "" << value << endl;
	wcout << L""End String = "" << end << endl;
	
	return 0;
}","unsigned long wcstoul( const wchar_t* str, wchar_t** str_end, int base );","str: A wide string having the representation of an unsigned integral number.
str_end: A pointer to a pointer to a wide character. The value of str_end is set by the function to the next character in str after the last valid character. This parameter can also be a null pointer, in which case it is not used.
base: The base of the integral value. The set of valid values for base is {0, 2, 3, …, 35, 36}.","String value = 101aaᚶ
Unsigned Long Int value = 101
End String = aaᚶ
String value = 59
Unsigned Long Int value = 59
End String =",Cwchar
wcstoll(),The wcstoll() function in C++ interprets the contents of a wide string as an integral number of the specified base and returns its value as a long long int.,"#include <cwchar>
#include <clocale>
#include <iostream>
using namespace std;

int main()
{
	setlocale(LC_ALL, ""en_US.UTF-8"");
	
	wchar_t str1[] = L""41\u0166\u0124xx"";
	wchar_t str2[] = L""127"";
	wchar_t *end;
	long long value;
	int base = 10;
	
	value = wcstoll(str1, &end, base);
	wcout << L""String value = "" << str1 << endl;
	wcout << L""Long Long Int value = "" << value << endl;
	wcout << L""End String = "" << end << endl;
	
	value = wcstoll(str2, &end, base);
	wcout << L""String value = "" << str2 << endl;
	wcout << L""Long Long Int value = "" << value << endl;
	wcout << L""End String = "" << end << endl;
	
	return 0;
}","long long wcstoll( const wchar_t* str, wchar_t** str_end, int base );","str: A wide string having the representation of an integral number.
str_end: A pointer to a pointer to a wide character. The value of str_end is set by the function to the next character in str after the last valid character. This parameter can also be a null pointer, in which case it is not used.
base: The base of the integral value. The set of valid values for base is {0, 2, 3, …, 35, 36}.","String value = 41ŦĤxx
Long Long Int value = 41
End String = ŦĤxx
String value = 127
Long Long Int value = 127
End String =",Cwchar
wcsftime(),The wcsftime() function in C++ converts the given date and time from a given calendar time time to a null-terminated wide character string according to a format string.,"#include <ctime>
#include <cwchar>
#include <iostream>
using namespace std;

int main()
{
	time_t curr_time;
	tm * curr_tm;
	wchar_t date_string[100];
	wchar_t time_string[100];
	
	time(&curr_time);
	curr_tm = localtime(&curr_time);
	
	wcsftime(date_string, 50, L""Today is %B %d, %Y"", curr_tm);
	wcsftime(time_string, 50, L""Current time is %T"", curr_tm);
	
	wcout << date_string << endl;
	wcout << time_string << endl;
	
	return 0;
}","size_t wcsftime( wchar_t* str, size_t count, const wchar_t* format, const tm* time );","str: Pointer to the first element of the wide character array to store the result.
count: Maximum number of wide character to write.
format: Pointer to a null-terminated wide character string specifying the format of conversion. The format string consists of conversion specifier (beginning with % and optionally followed by E or O) and other ordinary wide characters.
		The ordinary wide characters including the terminating null wide character are copied as it is to the output wide string.
		
Format specifiers for wcsftime()


Conversion Specifier
Description
Used Fields




%
Writes the character %


n
Writes newline character


t
Writes horizontal tab character


Year


Y
Writes 4 digits of year, e.g. 2011
tm_year


EY
Writes 4 digits of year in locale's alternative representation
tm_year


y
Writes last 2 digits of year, range [00, 99]
tm_year


Oy
Writes the last 2 digits of year in locale's alternative representation
tm_year


Ey
Writes year as offset from locale's alternative calendar period %EC (locale-dependent)
tm_year


C
Writes first 2 digits of year, range [00,99]
tm_year


EC
Writes name of the base year (period) in the locale's alternative representation,
tm_year


G
Writes ISO 8601 week-based year, i.e. the year that contains the specified week.
tm_year, tm_wday, tm_yday


g
Writes last 2 digits of ISO 8601 week-based year, i.e. the year that contains the specified week (range [00,99]).
tm_year, tm_wday, tm_yday


Month


b
Writes abbreviated month name, e.g. Jan
tm_mon


h
Same as b
tm_mon


B
Writes full month name, e.g. January
tm_mon


m
Writes month as a decimal number, range [01,12]
tm_mon


Om
Writes month using the locale's alternative numeric system
tm_mon


Week


U
Writes week of the year as a decimal number from 00 to 53 (Sunday is the first day of the week)
tm_year, tm_wday, tm_yday


OU
Writes week of the year as by %U using the alternative numeric system
tm_year, tm_wday, tm_yday


W
Writes week of the year as a decimal number from 00 to 53 (Monday is the first day of the week)
tm_year, tm_wday, tm_yday


OW
Writes week of the year as by %W using the alternative numeric system
tm_year, tm_wday, tm_yday


V
Writes ISO 8601 week of the year (range [01,53]).
tm_year, tm_wday, tm_yday


OV
Writes week of the year, as by %V, using the alternative numeric system
tm_year, tm_wday, tm_yday


Day of the year/month


j
Writes day of the year as a decimal number, range [001,366]
tm_yday


d
Writes day of the month as a decimal number, range[01,31]
tm_mday


Od
Writes day of the month, as by %d, using the alternative numeric system
tm_mday


e
Writes day of the month as a decimal number, range[1,31]
tm_mday


Oe
Writes day of the month, as by %e, using the alternative numeric system
tm_mday


Day of the week


a
Writes abbreviated weekday name, e.g. Fri (locale dependent)
tm_wday


A
Writes full weekday name, e.g. Friday (locale dependent)
tm_wday


w
Writes weekday as a decimal number, range [0-6] (Sunday is 0)
tm_wday


Ow
Writes weekday as by %w, using the alternative numeric system
tm_wday


u
Writes weekday as a decimal number, where Monday is 1 (ISO 8601 format), range [1-7]
tm_wday


Ou
Writes weekday as by %u, using the alternative numeric system
tm_wday


Hour, minute, second


H
Writes hour as a decimal number, range [00,23]
tm_hour


OH
Writes hour as by %H, using the alternative numeric system
tm_hour


I
Writes hour as a decimal number, range[01,12]
tm_hour


OI
Writes hour as by %I, using the alternative numeric system
tm_hour


M
Writes minute as a decimal number, range [00,59]
tm_min


OM
Writes minute as by %M, using the alternative numeric system
tm_min


S
Writes second as a decimal number, range [00,60]
tm_sec


OS
Writes second as by %S, using the alternative numeric system
tm_sec


Other


c
Writes standard date and time string, e.g. Sun Oct 17 04:41:13 2010 (locale dependent)
all


Ec
Writes locale's alternative date and time string
all


x
Writes localized date representation (locale dependent)
all


Ex
Writes locale's alternative date representation
all


X
Writes localized time representation (locale dependent)
all


EX
Writes locale's alternative time representation
all


D
Equivalent to ""%m/%d/%y""
tm_mon, tm_mday, tm_year


F
Equivalent to ""%Y-%m-%d""
tm_mon, tm_mday, tm_year


r
Writes localized 12-hour clock time
tm_hour, tm_min, tm_sec


R
Equivalent to ""%H:%M""
tm_hour, tm_min


T
Equivalent to ""%H:%M:%S
tm_hour, tm_min, tm_sec


P
Writes localized a.m. or p.m. (locale dependent)
tm_hour


z
writes offset from UTC in the ISO 8601 format (e.g. -0545), or no characters if the time zone information is not available
tm_isdst


Z
Writes time zone name or abbreviation, or nothing if the time zone information is not available (locale dependent)
tm_isdst




time: The date and time information to convert.","Today is April 21, 2017
Current time is 14:42:45",Cwchar
wmemset(),The wmemset() function in C++ copies a single wide character for a specified number of time to a wide character array.,"#include <cwchar>
#include <clocale>
#include <iostream>
using namespace std;

int main()
{
	setlocale(LC_ALL, ""en_US.utf8"");
	
	wchar_t ch = L'\u2206';
	wchar_t dest[20];
	int count = 10;
	
	wmemset(dest, ch, count);
	wcout << L""After copying "" << ch << L"" 10 times"" << endl;
	
	for(int i=0; i<count; i++)
		putwchar(dest[i]);
	
	return 0;
}","wchar_t* wmemset( wchar_t* dest, wchar_t ch, size_t count );","dest: Pointer to the wide character array to copy the wide character.
ch: The wide character to copy.
count: Number of times to copy.","After copying ∆ 10 times
∆∆∆∆∆∆∆∆∆∆",Cwchar
wmemmove(),The wmemmove() function in C++ copies a specified number of wide characters from source to the destination.,"#include <cwchar>
#include <clocale>
#include <iostream>
using namespace std;

int main()
{
	setlocale(LC_ALL, ""en_US.utf8"");
	
	wchar_t src[] = L""\u03b1\u03b2\u03b3\u03b8\u03bb\u03c9\u03c0"";
	wchar_t *dest = &src[2];// dest and src overlaps
	int count = 5;
	
	wmemmove(dest, src, count);
	wcout << L""After copying"" << endl;
	
	for(int i=0; i<count; i++)
		putwchar(dest[i]);
	
	return 0;
}","wchar_t* wmemmove( wchar_t* dest, const wchar_t* src, size_t count );","dest: Pointer to the wide character array where the contents are copied to
src: Pointer to the wide character array from where the contents are copied.
count: Number of wide characters to copy from src to dest.","After copying
αβγθλ",Cwchar
